"Title","CleanedTitle"
"Dewantara Journal of Technology","dewantara journal of technology"
"Dewantara: Jurnal Pendidikan Sosial Humaniora","dewantara pendidikan sosial humaniora"
"DEWANTECH","dewantech"
"De`Teksi : Jurnal Teknik Sipil","de teksi teknik sipil"
"Dawuh Guru: Jurnal Pendidikan MI/SD","dawuh guru pendidikan mi sd"
"Daya Nasional: Jurnal Pendidikan Ilmu-Ilmu Sosial dan Humaniora","daya nasional pendidikan sosial humaniora"
"Daya Saing : Jurnal Ilmu Manajemen","daya saing manajemen"
"DAYAH: Journal of Islamic Education","dayah journal of islamic education"
"DBESTI: Journal of Digital Business and Technology Innovation","dbesti journal of digital business and technology innovation"
"dCartesian: Jurnal Matematika dan Aplikasi","dcartesian matematika aplikasi"
"De Cive : Jurnal Penelitian Pendidikan Pancasila dan Kewarganegaraan","de cive pendidikan pancasila kewarganegaraan"
"De Facto: Journal of international multidisciplinary sciences","de facto journal of international multidisciplinary science"
"de Fermat : Jurnal Pendidikan Matematika","de fermat pendidikan matematika"
"De Juncto Delicti: Journal of Law","de juncto delicti journal of law"
"Dedikasi: Jurnal Pengabdian Masyarakat","dedikasi"
"Dedikasi: Jurnal Pengabdian Pendidikan dan Teknologi Masyarakat","dedikasi pendidikan teknologi"
"DedikasiMU: Journal of Community Service","dedikasimu journal of community service"
"Definisi: Journal of Religion and Social Humanities","definisi journal of religion and social humanity"
"Deiksis","deiksis"
"Deiksis : Jurnal Pendidikan Bahasa dan Sastra Indonesia","deiksis pendidikan bahasa sastra indonesia"
"DEIKTIS: Jurnal Pendidikan Bahasa dan Sastra","deiktis pendidikan bahasa sastra"
"Deka in Medicine","deka in medicine"
"DeKaVe","dekave"
"Dekave : Jurnal Desain Komunikasi Visual","dekave desain komunikasi visual"
"Demography Journal of Sriwijaya","demography journal of sriwijaya"
"Demokrasi: Jurnal Ilmu Pemerintahan","demokrasi pemerintahan"
"Demokrasi: Jurnal Riset Ilmu Hukum, Sosial dan Politik","demokrasi riset hukum sosial politik"
"Denta: Jurnal Kedokteran Gigi","denta kedokteran gigi"
"Dental Journal (Majalah Kedokteran Gigi)","dental journal majalah kedokteran gigi"
"Dental Therapist Journal","dental therapist journal"
"Dentika Dental Journal","dentika dental journal"
"Dentin","dentin"
"Dentino: Jurnal Kedokteran Gigi","dentino kedokteran gigi"
"Dentistry e-Journal FKG USU","dentistry e journal fkg usu"
"Dharma Pengabdian Perguruan Tinggi (DEPATI)","dharma perguruan tinggi depati"
"Dharma Raflesia : Jurnal Ilmiah Pengembangan dan Penerapan IPTEKS","dharma raflesia ilmiah pengembangan penerapan ipteks"
"Dharma Sastra","dharma sastra"
"Dharma Sevanam : Jurnal Pengabdian Masyarakat","dharma sevanam"
"Dharma: Jurnal Pengabdian Masyarakat","dharma"
"Dharma: Jurnal Pengabdian Masyarakat","dharma"
"Dharmahita: Journal of Community Service and Development","dharmahita journal of community service and development"
"Dharmakarya : Jurnal Aplikasi Ipteks Untuk Masyarakat","dharmakarya aplikasi ipteks"
"Dharmakirti : International Journal of Religion, Mind and Science","dharmakirti international journal of religion mind and science"
"Dharmas Education Journal (DE_Journal)","dharma education journal de_journal"
"DESKOVI : Art and Design Journal","deskovi art and design journal"
"Deskripsi Bahasa","deskripsi bahasa"
"Destinesia : Jurnal Hospitaliti dan Pariwisata","destinesia hospitaliti pariwisata"
"Detector: Jurnal Inovasi Riset Ilmu Kesehatan","detector inovasi riset kesehatan"
"Develop","develop"
"Develop : Jurnal Ekonomi Pembangunan","develop ekonomi pembangunan"
"DEVELOPMENT : Journal of Community Engagement","development journal of community engagement"
"Development : Studies in Educational Management and Leadership","development study in educational management and leadership"
"Development Policy and Management Review","development policy and management review"
"Developmental and Clinical Psychology","developmental and clinical psychology"
"Dasarrupa : Desain dan Seni Rupa","dasarrupa desain seni rupa"
"Data Science: Journal of Computing and Applied Informatics","data science journal of computing and applied informatics"
"Data Sciences Indonesia (DSI)","data science indonesia dsi"
"DATIN LAW JURNAL","datin law"
"Datokarama English Education Journal (deejournal)","datokarama english education journal deejournal"
"Datuk Sulaiman Law Review (DaLRev)","datuk sulaiman law review dalrev"
"Dauliyah Journal of Islamic and International Affairs","dauliyah journal of islamic and international affair"
"Daun: Jurnal Ilmiah Pertanian dan Kehutanan","daun ilmiah pertanian kehutanan"
"Davar: Jurnal Teologi","davar teologi"
"DAWUH","dawuh"
"Dedicated: Journal of Community Services (Pengabdian kepada Masyarakat)","dedicated journal of community service"
"Dedicatio: Jurnal Pengabdian Kepada Masyarakat","dedicatio"
"Dedication : Jurnal Pengabdian Masyarakat","dedication"
"Dedication : Jurnal Pengabdian Masyarakat","dedication"
"Dedication: Jurnal Pengabdian Masyarakat","dedication"
"Dedikasi : Jurnal Ilmiah Sosial, Hukum, Budaya","dedikasi ilmiah sosial hukum budaya"
"DEDIKASI : JURNAL PENGABDIAN KEPADA MASYARAKAT","dedikasi"
"DEDIKASI : Jurnal Pengabdian Kepada Masyarakat","dedikasi"
"Dedikasi : Jurnal Pengabdian Lentera","dedikasi lentera"
"Dedikasi Cendekia: Warta Pengabdian Pendidikan","dedikasi cendekia warta pendidikan"
"DEDIKASI JURNAL MAHASISWA","dedikasi mahasiswa"
"Dedikasi Nusantara: Jurnal Pengabdian Masyarakat Pendidikan Dasar","dedikasi nusantara pendidikan dasar"
"DEDIKASI PKM","dedikasi pkm"
"Dedikasi Sains dan Teknologi (DST)","dedikasi sains teknologi dst"
"Dedikasi Saintek Jurnal Pengabdian Masyarakat","dedikasi saintek"
"DEDIKASI: Community Service Reports","dedikasi community service report"
"Dedikasi: Journal of Community Engagement and Empowerment","dedikasi journal of community engagement and empowerment"
"Dedikasi: Jurnal Pengabdian kepada Masyarakat","dedikasi"
"Dedikasi: Jurnal Pengabdian Kepada Masyarakat","dedikasi"
"Dedikasi: Jurnal Pengabdian Masyarakat","dedikasi"
"DFAME Digital Financial Accounting Management Economics Journal","dfame digital financial accounting management economics journal"
"Dhabit : Jurnal Pendidikan Islam","dhabit pendidikan islam"
"Dhana","dhana"
"Dharma Acariya Nusantara: Jurnal Pendidikan, Bahasa dan Budaya","dharma acariya nusantara pendidikan bahasa budaya"
"Dharma Bakti","dharma bakti"
"Dharma Bhakti","dharma bhakti"
"DHARMA EKONOMI","dharma ekonomi"
"Dharma Ekonomi","dharma ekonomi"
"Dharma Jnana","dharma jnana"
"Dharma Pendidikan","dharma pendidikan"
"Darmabakti: Jurnal Inovasi Pengabdian dalam Penerbangan","darmabakti inovasi dalam penerbangan"
"Darris: Jurnal Pendidikan Madrasah Ibtidaiyah","darris pendidikan madrasah ibtidaiyah"
"Darul Hikmah: Jurnal Penelitian Hadits dan Tafsir","darul hikmah hadits tafsir"
"Darul Ilmi: Jurnal Ilmu Kependidikan dan Keislaman","darul ilmi kependidikan keislaman"
"Darul Ilmi: Jurnal Pendidikan Agama Islam","darul ilmi pendidikan agama islam"
"Darussalam : Jurnal Ilmiah Islam dan Sosial","darussalam ilmiah islam sosial"
"Darussalam English journal","darussalam english journal"
"Darussalam Nutrition Journal","darussalam nutrition journal"
"Darussalam: Journal of Psychology and Educational","darussalam journal of psychology and educational"
"DAS SEIN: Jurnal Pengabdian Hukum dan Humaniora","da sein hukum humaniora"
"Danadyaksa: Post Modern Economy Journal","danadyaksa post modern economy journal"
"Dance and Theatre Review: Jurnal Tari, Teater, dan Wayang","dance and theatre review tari teater wayang"
"Danum Pambelum: Jurnal Teologi dan Musik Gereja","danum pambelum teologi musik gereja"
"DAR EL-ILMI : Jurnal Studi Keagamaan, Pendidikan dan Humaniora","dar el ilmi keagamaan pendidikan humaniora"
"Darajat: Jurnal Pendidikan Agama Islam","darajat pendidikan agama islam"
"Darma Cendekia","darma cendekia"
"Darma Diksani: Jurnal Pengabdian Ilmu Pendidikan, Sosial, dan Humaniora","darma diksani pendidikan sosial humaniora"
"Darma Sabha Cendekia","darma sabha cendekia"
"Darmabakti : Junal Pengabdian dan Pemberdayaan Masyarakat","darmabakti junal pemberdayaan"
"Darmabakti Cendekia: Journal of Community Service and Engagements","darmabakti cendekia journal of community service and engagement"
"Dekonstruksi","dekonstruksi"
"Dekrit (Jurnal Hukum Dan Keadilan)","dekrit hukum keadilan"
"DELAHA: Journal of Theological Sciences","delaha journal of theological science"
"Delegasi","delegasi"
"Deli Sains Informatika","deli sains informatika"
"deliberatif","deliberatif"
"Deliberatio : Jurnal Mahasiswa Komunikasi","deliberatio mahasiswa komunikasi"
"DELICT Jurnal Hukum Pidana","delict hukum pidana"
"Delicti : Jurnal Hukum Pidana Dan Kriminologi","delicti hukum pidana kriminologi"
"DELICTUM : Jurnal Hukum Pidana Islam","delictum hukum pidana islam"
"Corruptio","corruptio"
"Cosmic Jurnal Teknik","cosmic teknik"
"Cosmogov: Jurnal Ilmu Pemerintahan","cosmogov pemerintahan"
"COSMOS: Jurnal Ilmu Pendidikan, Ekonomi dan Teknologi","cosmos pendidikan ekonomi teknologi"
"Council: Education Journal of Social Studies","council education journal of social study"
"COUNS-EDU: The International Journal of Counseling and Education","couns edu the international journal of counseling and education"
"Counselia: Jurnal Bimbingan Konseling Pendidikan Islam","counselia bimbingan konseling pendidikan islam"
"Counseling and Humanities Review","counseling and humanity review"
"Counseling As Syamil : Jurnal Ilmiah Bimbingan Konseling Islam","counseling a syamil ilmiah bimbingan konseling islam"
"COUNSELING FOR ALL: Jurnal Bimbingan dan Konseling","counseling for all bimbingan konseling"
"DIDAKTIK","didaktik"
"Didaktik : Jurnal Ilmiah PGSD STKIP Subang","didaktik ilmiah pgsd stkip subang"
"Didaktika","didaktika"
"DIDAKTIKA : Jurnal Kependidikan","didaktika kependidikan"
"Didaktika Aulia","didaktika aulia"
"DIDAKTIKA BIOLOGI: Jurnal Penelitian Pendidikan Biologi","didaktika biologi pendidikan biologi"
"Didaktika Biologi: Jurnal Penelitian Pendidikan Biologi","didaktika biologi pendidikan biologi"
"Didaktika Religia","didaktika religia"
"DIDAKTIKA TAUHIDI: JURNAL PENDIDIKAN GURU SEKOLAH DASAR","didaktika tauhidi pendidikan guru sekolah dasar"
"Didaktika: Jurnal Kependidikan","didaktika kependidikan"
"Deviance: Jurnal Kriminologi","deviance kriminologi"
"DEVICE","device"
"DEVICE : JOURNAL OF INFORMATION SYSTEM, COMPUTER SCIENCE AND INFORMATION TECHNOLOGY","device journal of information system computer science and information technology"
"DEVOSI","devosi"
"Devosi : Jurnal Teknologi Pembelajaran","devosi teknologi pembelajaran"
"DEVOTE: Jurnal Pengabdian Masyarakat Global","devote global"
"DEVOTE: Jurnal Pengabdian Masyarakat Global","devote global"
"Devotion : Jurnal Pengabdian Psikologi","devotion psikologi"
"Devotion: Journal Corner of Community Service","devotion journal corner of community service"
"Devotion: Journal of Research and Community Service","devotion journal of research and community service"
"Dharmas Journal of Sport","dharma journal of sport"
"DHARMASMRTI: Jurnal Pascasarjana UNHI","dharmasmrti pascasarjana unhi"
"Dharmawangsa: International Journal of the Social Sciences, Education and Humanitis","dharmawangsa international journal of the social science education and humanitis"
"DHeJA","dheja"
"Dia: Jurnal Administrasi Publik","dia administrasi publik"
"Diadik: Jurnal Ilmiah Teknologi Pendidikan","diadik ilmiah teknologi pendidikan"
"Diagnosa: Jurnal Ilmu Kesehatan dan Keperawatan","diagnosa kesehatan keperawatan"
"Diakom : Jurnal Media dan Komunikasi","diakom medium komunikasi"
"Diakronika","diakronika"
"Dialectical Literature and Education Journal","dialectical literature and education journal"
"Department of Naval Architecture","department of naval architecture"
"Depik Jurnal Ilmu-Ilmu Perairan, Pesisir dan Perikanan","depik perairan pesisir perikanan"
"Depik Jurnal Ilmu-Ilmu Perairan, Pesisir, dan Perikanan","depik perairan pesisir perikanan"
"Deposisi: Jurnal Publikasi Ilmu Hukum","deposisi publikasi hukum"
"DeReMa (Development Research of Management) Jurnal Manajemen","derema development research of management manajemen"
"DERIVATIF","derivatif"
"DESA (Desain dan Arsitektur)","desa desain arsitektur"
"Desa-Kota : Jurnal Perencanaan Wilayah, Kota, dan Pemukiman","desa kota perencanaan wilayah kota pemukiman"
"Desentralisasi: Jurnal Hukum, Kebijakan Publik, Dan Pemerintahan","desentralisasi hukum kebijakan publik pemerintahan"
"Desimal: Jurnal Matematika","desimal matematika"
"Dialog","dialog"
"Dialogia Iuridica","dialogia iuridica"
"Dialogia: Jurnal Studi Islam dan Sosial","dialogia islam sosial"
"Dialogue: Jurnal Ilmu Administrasi Publik","dialogue administrasi publik"
"DIANKES : Jurnal Pengabdian Teknologi Informasi dan Kesehatan","diankes teknologi informasi kesehatan"
"Didache : Jurnal Teologi dan Pendidikan Kristen","didache teologi pendidikan kristen"
"Didache: Journal of Christian Education","didache journal of christian education"
"Didactica : Jurnal Kajian Pendidikan dan Pembelajaran","didactica kajian pendidikan pembelajaran"
"Didacticofrancia: Journal Didactique du FLE","didacticofrancia journal didactique du fle"
"DIDAKTIK","didaktik"
"DIALEKTIKA","dialektika"
"Dialektika","dialektika"
"DIALEKTIKA","dialektika"
"Dialektika : Jurnal Pendidikan Agama Islam","dialektika pendidikan agama islam"
"Dialektika Jurnal Pendidikan Bahasa Indonesia","dialektika pendidikan bahasa indonesia"
"Dialektika kontemporer","dialektika kontemporer"
"Dialektika Masyarakat: Jurnal Sosiologi","dialektika sosiologi"
"DIALEKTIKA: JURNAL BAHASA, SASTRA DAN BUDAYA","dialektika bahasa sastra budaya"
"Dialektika: Jurnal Ekonomi dan Ilmu Sosial","dialektika ekonomi sosial"
"DIALEKTIKA: Jurnal Ilmiah Pendidikan Bahasa, Sastra, dan Matematika","dialektika ilmiah pendidikan bahasa sastra matematika"
"Didaktika: Jurnal Pemikiran Pendidikan","didaktika pemikiran pendidikan"
"DIDAKTIKA: Jurnal Pendidikan Sekolah Dasar","didaktika pendidikan sekolah dasar"
"DIDAKTIKOS: Jurnal Pendidikan Agama Kristen Duta Harapan","didaktikos pendidikan agama kristen duta harapan"
"Didaktikum","didaktikum"
"DIDAKTIS: Jurnal Pendidikan Bahasa dan Sastra Indonesia","didaktis pendidikan bahasa sastra indonesia"
"Didaktis: Jurnal Pendidikan dan Ilmu Pengetahuan","didaktis pendidikan pengetahuan"
"Didaktis: Proseding Seminar Nasional Pendidikan Dasar","didaktis proseding seminar nasional pendidikan dasar"
"Didascein (Journal of English Education)","didascein journal of english education"
"DIDASKALIA : JURNAL PENDIDIKAN AGAMA KRISTEN","didaskalia pendidikan agama kristen"
"DiE: Jurnal Ilmu Ekonomi dan Manajemen","die ekonomi manajemen"
"Diglossia","diglossia"
"Digulis: Jurnal Pengabdian Pada Masyarakat","digulis"
"DiH : Jurnal Ilmu Hukum","dih hukum"
"DIJB (Diponegoro International Journal of Business)","dijb diponegoro international journal of business"
"DiJITAC : Digital Journal of Information Technology and Communication","dijitac digital journal of information technology and communication"
"Dik Indonesiana","dik indonesiana"
"DIKBASTRA : Jurnal Pendidikan Bahasa dan Sastra","dikbastra pendidikan bahasa sastra"
"DIKDAS MATAPPA: Jurnal Ilmu Pendidikan Dasar","dikdas matappa pendidikan dasar"
"Dikdimas : Jurnal Pengabdian Kepada Masyarakat","dikdimas"
"Dike","dike"
"DIKSI: Jurnal Kajian Pendidikan dan Sosial","diksi kajian pendidikan sosial"
"Diksi: Jurnal Pendidikan dan Literasi","diksi pendidikan literasi"
"Diktum","diktum"
"DIKTUM: JURNAL SYARIAH DAN HUKUM","diktum syariah hukum"
"DIKTUM: Jurnal Syariah dan Hukum","diktum syariah hukum"
"Diligentia: Journal of Theology and Christian Education","diligentia journal of theology and christian education"
"DIMAR: Jurnal Pendidikan Islam","dimar pendidikan islam"
"Dimas: Jurnal Pemikiran Agama untuk Pemberdayaan","dimas pemikiran agama pemberdayaan"
"DIMAS: Jurnal Pengabdian Masyarakat","dimas"
"DIMASATRA","dimasatra"
"Dimasejati: Jurnal Pengabdian Kepada Masyarakat","dimasejati"
"DIMASEKA","dimaseka"
"DIMASLIA","dimaslia"
"DIMENSI","dimensi"
"DIMENSI","dimensi"
"Dimensi Interior","dimensi interior"
"Dimensi Matematika : Jurnal Pendidikan dan Pembelajaran Matematika","dimensi matematika pendidikan pembelajaran matematika"
"DIMENSI PENDIDIKAN","dimensi pendidikan"
"Dimensi Teknik Elektro","dimensi teknik elektro"
"Dimensi Utama Teknik Sipil","dimensi utama teknik sipil"
"DIMENSI: Journal of Architecture and Built Environment","dimensi journal of architecture and built environment"
"DIMENSIA: Jurnal Kajian Sosiologi","dimensia kajian sosiologi"
"DINAMIC : Directory Journal of Economic","dinamic directory journal of economic"
"Dinamik","dinamik"
"Dinamika","dinamika"
"Dinamika","dinamika"
"Dinamika","dinamika"
"Dinamika","dinamika"
"Dinamika","dinamika"
"Dinamika : Jurnal Ilmiah Ilmu Administrasi Negara","dinamika ilmiah administrasi negara"
"Digital Business Journal (DIGIBIS)","digital business journal digibis"
"Digital Business Progress","digital business progress"
"Digital Business Tren Bisnis Masa Depan","digital business tren bisnis masa depan"
"Digital Economy and Digital Transformation Review","digital economy and digital transformation review"
"Digital Innovation : International Journal Of Management","digital innovation international journal of management"
"Digital Muslim Review","digital muslim review"
"Digital Transformation Technology (Digitech)","digital transformation technology digitech"
"Digital Zone: Jurnal Teknologi Informasi dan Komunikasi","digital zone teknologi informasi komunikasi"
"Diglosia","diglosia"
"Diglosia: Jurnal Kajian Bahasa, Sastra, dan Pengajarannya","diglosia kajian bahasa sastra pengajarannya"
"DELIMA: Jurnal Kajian Kebidanan","delima kajian kebidanan"
"Delta Jurnal Ilmiah Pendidikan Matematika  FKIP Universitas Pekalongan","delta ilmiah pendidikan matematika fkip universitas pekalongan"
"Delta-Phi Jurnal Pendidikan Matematika","delta phi pendidikan matematika"
"Delta-Pi : Jurnal Matematika dan Pendidikan Matematika","delta pi matematika pendidikan matematika"
"Delta: Jurnal Ilmiah Pendidikan Matematika","delta ilmiah pendidikan matematika"
"Demagogi: Journal of Social Sciences, Economics and Education","demagogi journal of social science economics and education"
"Demak Universal Journal of Islam and Sharia","demak universal journal of islam and sharia"
"DEMAnD","demand"
"Demandia : Jurnal Desain Komunikasi Visual, Manajemen Desain, dan Periklanan","demandia desain komunikasi visual manajemen desain periklanan"
"DEMOCRATIA","democratia"
"Diegesis: Jurnal Teologi","diegesis teologi"
"DIEGESIS: Jurnal Teologi Kharismatika","diegesis teologi kharismatika"
"Dielektrika : Jurnal Ilmiah Kajian Teori dan Aplikasi Teknik Elektro","dielektrika ilmiah kajian teori aplikasi teknik elektro"
"DIFERENSIAL: JURNAL PENDIDIKAN MATEMATIKA","diferensial pendidikan matematika"
"DIFFRACTION: Journal for Physics Education and Applied Physics","diffraction journal for physic education and applied physic"
"DIGEST MARKETING","digest marketing"
"DIGIBE: Digital Business and Entrepreneurship Journal","digibe digital business and entrepreneurship journal"
"DIGICOM : Jurnal Komunikasi dan Media","digicom komunikasi medium"
"DIGICOM : Jurnal Komunikasi dan Media","digicom komunikasi medium"
"Digital Bisnis: Jurnal Publikasi Ilmu Manajemen Dan E-commerce","digital bisnis publikasi manajemen e commerce"
"DIKEMAS (Jurnal Pengabdian Kepada Masyarakat)","dikemas"
"Diklabio: Jurnal Pendidikan dan Pembelajaran Biologi","diklabio pendidikan pembelajaran biologi"
"DIKLASTRI","diklastri"
"Diklat Review : Jurnal manajemen pendidikan dan pelatihan","diklat review manajemen pendidikan pelatihan"
"DIKLUS: Jurnal Pendidikan Luar Sekolah","diklus pendidikan luar sekolah"
"Dikmas: Jurnal Pendidikan Masyarakat dan Pengabdian","dikmas pendidikan"
"DIKMAT: Jurnal Pendidikan Matematika","dikmat pendidikan matematika"
"Diksa : Jurnal Pendidikan Bahasa dan Sastra Indonesia","diksa pendidikan bahasa sastra indonesia"
"DIKSAINS : Jurnal Ilmiah Pendidikan Sains","diksains ilmiah pendidikan sains"
"DIKSI","diksi"
"Dinamika : Jurnal Teknik Mesin","dinamika teknik mesin"
"Dinamika Akuntansi Keuangan dan Perbankan","dinamika akuntansi keuangan perbankan"
"Dinamika Bahari: Journal of Maritime Dynamic","dinamika bahari journal of maritime dynamic"
"Dinamika Bahasa dan Budaya","dinamika bahasa budaya"
"DINAMIKA DOTCOM","dinamika dotcom"
"Dinamika Ekonomi","dinamika ekonomi"
"Dinamika Ekonomi - Jurnal Ekonomi dan Bisnis","dinamika ekonomi ekonomi bisnis"
"DINAMIKA GLOBAL : JURNAL ILMU HUBUNGAN INTERNASIONAL","dinamika global hubungan internasional"
"Dinamika Governance : Jurnal Ilmu Administrasi Negara","dinamika governance administrasi negara"
"Dinamika Hukum","dinamika hukum"
"DE JURE","de jure"
"DE LEGA LATA: Jurnal Ilmu Hukum","de lega lata hukum"
"DE'RECHTSSTAAT","de rechtsstaat"
"de-lite","de lite"
"DEARSIP: Journal of Architecture and Civil","dearsip journal of architecture and civil"
"Decisio: Law Journal","decisio law journal"
"DECISION : Jurnal Ekonomi dan Bisnis","decision ekonomi bisnis"
"Decision: Jurnal Administrasi Publik","decision administrasi publik"
"DECODE: Jurnal Pendidikan Teknologi Informasi","decode pendidikan teknologi informasi"
"DECODING: Jurnal Mahasiswa KPI","decoding mahasiswa kpi"
"Dinamis","dinamis"
"Dinamis : Journal of Islamic Management and Bussiness","dinamis journal of islamic management and bussiness"
"Dinamisia: Jurnal Pengabdian Kepada Masyarakat","dinamisia"
"Dinar : Jurnal Prodi Ekonomi Syariah","dinar prodi ekonomi syariah"
"Dinar Islamic Review","dinar islamic review"
"Dinar: Jurnal Ekonomi dan Keuangan Islam","dinar ekonomi keuangan islam"
"Dinasti Accounting Review","dinasti accounting review"
"Dinasti Information and Technology","dinasti information and technology"
"Dinasti International Journal of Digital Business Management","dinasti international journal of digital business management"
"Dinasti International Journal of Economics, Finance & Accounting (DIJEFA)","dinasti international journal of economics finance accounting dijefa"
"Dinamika Rekasatwa: Jurnal Ilmiah (e-Journal)","dinamika rekasatwa ilmiah e journal"
"Dinamika Sosial: Jurnal Pendidikan Ilmu Pengetahuan Sosial","dinamika sosial pendidikan pengetahuan sosial"
"Dinamika Sosial: Jurnal Pengabdian Masyarakat Dan Transformasi Kesejahteraan","dinamika sosial transformasi kesejahteraan"
"Dinamika Teknik Mesin : Jurnal Keilmuan dan Terapan Teknik Mesin","dinamika teknik mesin keilmuan terapan teknik mesin"
"Dinamika Teknik Sipil","dinamika teknik sipil"
"Dinamika Teknik Sipil: Majalah Ilmiah Teknik Sipil","dinamika teknik sipil majalah ilmiah teknik sipil"
"Dinamika: Jurnal Bahasa, Sastra, dan Pembelajarannya","dinamika bahasa sastra pembelajarannya"
"DINAMIKA: Jurnal Kajian Pendidikan dan Keislaman","dinamika kajian pendidikan keislaman"
"DINAMIKA: Jurnal Manajemen Akuntansi, Bisnis dan Kewirausahaan","dinamika manajemen akuntansi bisnis kewirausahaan"
"Dinamika: Jurnal Pengabdian Masyarakat","dinamika"
"Dirgamaya: Jurnal Manajemen dan Sistem Informasi","dirgamaya manajemen sistem informasi"
"DIRHAM Jurnal Ekonomi Islam","dirham ekonomi islam"
"Dirkantara Indonesia","dirkantara indonesia"
"Dirosat : Journal of Islamic Studies","dirosat journal of islamic study"
"DIROSAT: Journal of Education, Social Sciences & Humanities","dirosat journal of education social science humanity"
"Dirosatuna: Journal of Islamic Studies","dirosatuna journal of islamic study"
"Diroyah : Jurnal Studi Ilmu Hadis","diroyah hadis"
"Disastra: Jurnal Pendidikan Bahasa dan Sastra Indonesia","disastra pendidikan bahasa sastra indonesia"
"Disclosure: Journal of Accounting and Finance","disclosure journal of accounting and finance"
"DISCOURSE : Indonesian Journal of Social Studies and Education","discourse indonesian journal of social study and education"
"Distribusi","distribusi"
"Diteksi : Jurnal Pengabdian Kepada Masyarakat","diteksi"
"DIVAGATRA - Jurnal Penelitian Mahasiswa Desain","divagatra mahasiswa desain"
"DIVERSI : Jurnal Hukum","diversi hukum"
"Diversity Guidance and Counseling Journal","diversity guidance and counseling journal"
"Diversity Logic Journal Multidisciplinary","diversity logic journal multidisciplinary"
"Diversity: Disease Preventive of Research Integrity","diversity disease preventive of research integrity"
"Diversity: Jurnal Ilmiah Pascasarjana","diversity ilmiah pascasarjana"
"Divinitas Jurnal Filsafat dan Teologi Kontekstual","divinitas filsafat teologi kontekstual"
"Diwan : Jurnal Bahasa dan Sastra Arab","diwan bahasa sastra arab"
"Diponegoro Private Law Review","diponegoro private law review"
"Dirasah : Jurnal Pemikiran dan Pendidikan Dasar Islam","dirasah pemikiran pendidikan dasar islam"
"Dirasah : Jurnal Studi Ilmu dan Manajemen Pendidikan Islam","dirasah manajemen pendidikan islam"
"DIRASAH: Jurnal Kajian Islam","dirasah kajian islam"
"Dirasah: Jurnal Pendidikan Islam","dirasah pendidikan islam"
"Dirasat Islamiah: Jurnal Kajian Keislaman","dirasat islamiah kajian keislaman"
"DIRASAT Jurnal Manajemen & Pendidikan Islam","dirasat manajemen pendidikan islam"
"Dirasat: Jurnal Studi Islam dan Peradaban","dirasat islam peradaban"
"Dirasatul Ibtidaiyah","dirasatul ibtidaiyah"
"DIRAYAH : Jurnal Ilmu Hadis","dirayah hadis"
"Diwan: Jurnal Bahasa dan Sastra Arab","diwan bahasa sastra arab"
"Diya Al-Afkar","diya al afkar"
"Djtechno: Jurnal Teknologi Informasi","djtechno teknologi informasi"
"DODOTO","dodoto"
"Doktrin: Jurnal Dunia Ilmu Hukum dan Politik","doktrin dunia hukum politik"
"DOKTRINA: JOURNAL OF LAW","doktrina journal of law"
"Domus Legalis Cogitatio","domus legalis cogitatio"
"DoubleClick : Journal of Computer and Information Technology","doubleclick journal of computer and information technology"
"DOULOS: Jurnal Pengabdian kepada Masyarakat","doulos"
"Drone journalism: praktiknya dalam foto jurnalistik di Indonesia","drone journalism praktiknya dalam foto jurnalistik indonesia"
"E-Journal Of Cultural Studies","e journal of cultural study"
"e-Journal of ELTS (English Language Teaching Society)","e journal of elts english language teaching society"
"E-Journal of Linguistics","e journal of linguistics"
"E-Journal of Tourism","e journal of tourism"
"E-Journal Perdagangan Industri dan Moneter","e journal perdagangan industri moneter"
"e-Journal Pustaka Kesehatan","e journal pustaka kesehatan"
"E-Journal Studia Manajemen","e journal studia manajemen"
"E-Journal Sungkai","e journal sungkai"
"E-Journal Widya Ekonomika","e journal widya ekonomika"
"E-journal Widya Eksakta","e journal widya eksakta"
"Dinasti International Journal of Education Management and Social Science","dinasti international journal of education management and social science"
"Dinasti International Journal of Management Science","dinasti international journal of management science"
"Dinika : Academic Journal of Islamic Studies","dinika academic journal of islamic study"
"Dinika: Academic Journal of Islamic Studies.","dinika academic journal of islamic study"
"Diniyah: Jurnal Pendidikan Dasar","diniyah pendidikan dasar"
"Diniyyah Jurnal","diniyyah"
"DINTEK","dintek"
"DIPANEGARA  KOMPUTER SISTEM INFORMASI (DIPAKOMSI)","dipanegara komputer sistem informasi dipakomsi"
"DIPANEGARA  KOMPUTER TEKNOLOGI INFORMATIKA (DIPAKOMTI)","dipanegara komputer teknologi informatika dipakomti"
"Diploma Program - Informatics Management","diploma program informatics management"
"DZURRIYAT : Jurnal Pendidikan Islam Anak Usia Dini","dzurriyat pendidikan islam anak usia dini"
"E-Amal: Jurnal Pengabdian Kepada Masyarakat","e amal"
"E-BISMARK : Jurnal Ekonomi Bisnis Dan Marketing","e bismark ekonomi bisnis marketing"
"E-Bisnis : Jurnal Ilmiah Ekonomi dan Bisnis","e bisnis ilmiah ekonomi bisnis"
"e-CliniC","e clinic"
"E-CLUE Journal of English Culture, Language, Literature and Education","e clue journal of english culture language literature and education"
"E-Coops-Day : Jurnal Ilmiah Abdimas","e coop day ilmiah abdimas"
"E-Dimas: Jurnal Pengabdian kepada Masyarakat","e dimas"
"e-Dinamis","e dinamis"
"e-GIGI","e gigi"
